./lib/chinese.js: line 2583, col 10, Duplicate key '㘀'.
./lib/chinese.js: line 2586, col 10, Duplicate key '䂎'.
./lib/chinese.js: line 2588, col 10, Duplicate key '㕙'.
./lib/chinese.js: line 2592, col 11, Duplicate key '𢃒'.
./lib/chinese.js: line 2597, col 10, Duplicate key '㣿'.
./lib/chinese.js: line 2598, col 11, Duplicate key '𣥺'.
./lib/chinese.js: line 2604, col 10, Duplicate key '㩼'.
./lib/chinese.js: line 2610, col 10, Duplicate key '？'.
./lib/chinese.js: line 2615, col 11, Duplicate key '𠧙'.
./lib/chinese.js: line 2621, col 10, Duplicate key '䌳'.
./lib/chinese.js: line 2625, col 10, Duplicate key '㚖'.
./lib/chinese.js: line 2630, col 11, Duplicate key '𣠞'.
./lib/chinese.js: line 2631, col 10, Duplicate key '㚲'.
./lib/chinese.js: line 2634, col 11, Duplicate key '𣍆'.
./lib/chinese.js: line 2635, col 11, Duplicate key '𢨀'.
./lib/chinese.js: line 2639, col 10, Duplicate key '㹗'.
./lib/chinese.js: line 2654, col 10, Duplicate key '？'.
./lib/chinese.js: line 2655, col 10, Duplicate key '䐈'.
./lib/chinese.js: line 2662, col 11, Duplicate key '𡠗'.
./lib/chinese.js: line 2668, col 10, Duplicate key '㰲'.
./lib/chinese.js: line 2672, col 11, Duplicate key '𢃓'.
./lib/chinese.js: line 2681, col 11, Duplicate key '𠭥'.
./lib/chinese.js: line 2686, col 11, Duplicate key '𥇜'.
./lib/chinese.js: line 2689, col 10, Duplicate key '㓃'.
./lib/chinese.js: line 2691, col 11, Duplicate key '𡰪'.
./lib/chinese.js: line 2692, col 10, Duplicate key '䐁'.
./lib/chinese.js: line 2694, col 10, Duplicate key '䍶'.
./lib/chinese.js: line 2699, col 10, Duplicate key '㕆'.
./lib/chinese.js: line 2701, col 11, Duplicate key '𣑫'.
./lib/chinese.js: line 2706, col 11, Duplicate key '𥠄'.
./lib/chinese.js: line 2707, col 10, Duplicate key '㪜'.
./lib/chinese.js: line 2714, col 10, Duplicate key '㢪'.
./lib/chinese.js: line 2715, col 10, Duplicate key '䁱'.
./lib/chinese.js: line 2716, col 11, Duplicate key '𠹝'.
./lib/chinese.js: line 2724, col 10, Duplicate key '㸸'.
./lib/chinese.js: line 2734, col 10, Duplicate key '䁊'.
./lib/chinese.js: line 2736, col 11, Duplicate key '𡣬'.
./lib/chinese.js: line 2737, col 11, Duplicate key '𣁳'.
./lib/chinese.js: line 2745, col 10, Duplicate key '㕈'.
./lib/chinese.js: line 2750, col 10, Duplicate key '㒚'.
./lib/chinese.js: line 2756, col 10, Duplicate key '㺖'.
./lib/chinese.js: line 2765, col 10, Duplicate key '㗿'.
./lib/chinese.js: line 2770, col 10, Duplicate key '㯺'.
./lib/chinese.js: line 2776, col 10, Duplicate key '䍐'.
./lib/chinese.js: line 2778, col 10, Duplicate key '㽺'.
./lib/chinese.js: line 2783, col 11, Duplicate key '𡚽'.
./lib/chinese.js: line 2784, col 10, Duplicate key '㗿'.
./lib/chinese.js: line 2800, col 10, Duplicate key '㛍'.
./lib/chinese.js: line 2801, col 11, Duplicate key '𢴲'.
./lib/chinese.js: line 2802, col 10, Duplicate key '㚛'.
./lib/chinese.js: line 2804, col 10, Duplicate key '㚠'.
./lib/chinese.js: line 2805, col 10, Duplicate key '㱇'.
./lib/chinese.js: line 2807, col 10, Duplicate key '㶼'.
./lib/chinese.js: line 2813, col 10, Duplicate key '㽎'.
./lib/chinese.js: line 2821, col 10, Duplicate key '㛍'.
./lib/chinese.js: line 2826, col 11, Duplicate key '𢟪'.
./lib/chinese.js: line 2827, col 10, Duplicate key '䀈'.
./lib/chinese.js: line 2829, col 10, Duplicate key '㾙'.
./lib/chinese.js: line 2834, col 10, Duplicate key '䒗'.
